V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1.252119,1.147495,-1.391684,-0.943420,4.715803,-0.113456,1.700191,1.726792,-0.097784,-0.656996,0.702187,-2.543277,0.237965,-2.856060,-0.127534,-1.349411,-0.448907,0.084702,-0.069586,2.690470,1.296260,-5.774002,0.054280,-0.487386,0.336727,0.799367,6.283703,-3.499781,5.844822,0.824801,3.711362,-1.510381,11.516756,-8.214345,-0.807818,3.355644,-4.347330,-0.548133,1.739928,-6.495107,1.831612,-1.739057,-0.205863,-1.122845,5.128074,-6.455301,4.805972,-0.836718,0.243850,0.550506
-0.081242,0.895511,-0.899539,-0.567437,-0.000858,-0.368887,2.494979,-1.872607,-0.271302,0.269469,1.441247,0.755189,-0.833888,-2.516172,-0.273917,0.858954,-0.677330,-0.274800,0.126648,1.517452,-0.952836,4.660668,-0.431004,1.405489,1.347600,-2.178268,0.229714,-2.501897,2.578332,-1.545377,-0.169496,0.050797,-3.212392,2.197964,0.854601,-3.375541,1.839170,0.038434,-0.271178,9.223351,0.043987,0.217326,0.886793,-0.479170,-1.604358,0.530221,0.933190,0.723039,0.129054,1.199911
-1.541770,-1.020257,-1.284582,-0.873583,-0.028849,1.420738,-0.123913,0.556598,-0.421535,0.583217,-0.556032,-0.520804,0.147432,0.141162,-0.780762,-1.558244,0.398140,-0.271086,-1.090897,1.626781,-0.914879,-4.773811,-0.595282,-0.399874,-0.748012,-1.464601,-1.035779,2.600221,-2.115769,-0.314453,-1.107140,0.286081,0.177871,0.665859,0.105605,3.679160,-0.321507,0.212733,-1.228444,-10.012958,-0.974023,2.362727,0.668120,-0.124415,-2.053896,0.608635,-0.858415,0.005290,-0.401385,-0.955565
0.934387,0.396485,0.212920,0.261810,-4.061410,-1.278870,1.194374,-1.820896,-0.652930,-0.251812,0.404741,0.825539,-0.284394,-0.219262,0.058626,-0.783384,-0.836525,0.783922,-0.816277,-1.292182,-0.135587,-2.836511,1.838219,0.427318,-0.279401,-0.992680,-5.116222,-2.947247,6.298938,0.308261,-2.333669,-3.077879,-8.533188,7.473909,0.269642,2.393242,0.355030,0.468296,-1.569129,-2.542842,-0.934110,-1.167559,0.346044,-0.793599,0.334517,5.280646,-0.955479,0.774569,-0.698114,-1.208719
3.152083,1.394216,-1.943079,-1.462772,2.941500,1.498331,1.272531,-0.309727,-0.070623,0.700403,1.900715,-0.680987,-0.796814,0.886080,1.472874,0.322965,-0.022779,0.557598,-0.160977,3.632068,0.907287,8.559848,0.471940,-0.460786,-2.177377,-3.355844,1.499217,4.012994,6.086854,-0.939325,1.742091,-1.465431,6.912432,-9.960373,-0.141839,-3.160610,-0.401777,-0.140402,-0.377821,13.368548,0.848649,-0.487703,1.345092,-0.376022,4.963181,-5.828609,2.126226,-1.415254,0.266586,0.410085
-2.520894,-2.939945,-2.697915,0.280295,0.679182,-1.345226,2.763041,-2.790444,-0.003559,-0.120294,-3.031449,1.099762,-0.646895,-1.011753,1.683818,-0.190225,-0.079499,0.879359,0.414113,-0.479492,-1.452460,3.814257,1.206406,0.499222,-0.224323,1.576723,0.491349,-5.032852,-4.883775,1.935434,0.017573,-0.119262,5.396079,-3.383619,1.051856,-3.038268,2.282921,-0.670362,0.363880,11.234085,-0.450700,-1.051207,-0.043721,-0.390561,-5.298097,-2.397842,-0.425311,-0.152631,-0.311299,0.039919
-1.660680,-0.929632,-0.327393,-0.141654,1.472165,2.930769,1.692828,-1.564093,-0.107326,-0.457104,0.237144,-1.647279,-1.154699,0.204503,0.558165,0.767040,1.032372,0.373523,-0.804882,0.357976,1.755894,-0.254323,0.307879,-1.724457,-1.496774,-2.700570,0.531761,7.287436,-0.738414,-0.355753,1.228855,-0.435570,1.481385,-3.232040,-0.743534,1.309650,-1.624360,0.251714,0.105966,-4.928340,0.604338,-0.531028,0.861165,-1.989872,-0.986988,-0.948837,3.851620,-1.908842,0.582456,-1.199383
-0.301177,-0.171836,-1.979815,-0.362520,-4.460514,1.502164,1.419631,-0.649475,-0.147135,-0.703373,0.220238,0.349450,-0.528224,0.433923,-0.662179,-1.337777,0.212489,0.429803,0.542011,0.163594,-0.674000,-8.732855,1.597189,0.297176,0.890941,0.207027,-4.995584,3.981780,1.527020,-0.594212,-2.923130,-0.666613,-14.511467,8.013236,-1.825295,5.619147,0.127871,-0.714429,-0.563653,-18.342835,-1.173168,-1.928412,-0.411491,0.407781,-1.482777,6.264106,0.040666,-0.745235,2.135203,0.041873
-2.330649,-1.162498,-1.709512,-0.129348,-2.228945,1.417823,2.100513,-1.211296,1.823521,0.189609,-1.780292,0.833400,-0.423747,-0.885533,-1.355231,-0.039428,0.626492,-0.234475,1.783870,-0.679361,-2.133565,3.362302,-1.113094,0.953413,0.013493,2.541992,-4.127556,1.774267,-5.527610,1.443382,-1.478672,-1.051063,-1.488799,1.908023,1.101283,-1.063793,1.821432,-0.453179,-1.472522,4.798790,-0.411256,-0.005408,-0.532846,0.686183,-4.474497,2.824942,-2.606608,0.841352,-1.266472,0.317355
0.547419,0.391333,1.732345,-0.144135,-3.232514,-1.152548,-2.076748,4.001805,-1.070999,0.506431,1.737606,1.170464,2.096052,-1.151552,1.675350,-1.694955,0.046967,1.288004,-0.481019,1.091197,0.351202,-4.139220,0.042515,0.600634,-0.590333,0.413972,-5.066271,-5.087781,4.466451,0.784972,-2.419487,0.182867,-9.562276,7.556319,0.697387,1.567804,2.376041,0.449014,-0.848784,-2.517935,-1.017008,-2.428687,-0.666417,0.027289,-1.062947,5.104292,-0.503548,-0.300972,0.240664,-0.686775
-2.174284,-1.817306,0.363744,1.249245,0.378985,1.776244,-1.530588,3.783518,0.665677,0.984518,-1.778064,0.691702,1.516052,-2.692411,0.399908,0.255389,-0.002788,0.441615,-0.355706,-1.917398,0.880696,9.138372,-0.438589,1.191283,0.274822,-1.847082,0.547613,-2.796319,-5.835865,0.375041,0.134908,-0.059982,4.878800,-0.863899,-0.238489,-4.887048,2.684662,-0.047844,0.668708,17.752565,1.110016,-0.269403,-0.627516,0.221876,-4.109671,-1.270829,1.340320,0.911376,-1.158536,-0.099781
0.130278,-0.819988,-0.492840,0.404905,2.780172,2.891381,-0.616589,1.694369,-1.907592,-1.515086,0.177079,0.022160,0.748575,1.472682,-0.714677,1.209222,1.234796,-0.660581,-3.928185,0.263455,0.586270,7.893317,0.707464,-0.129644,1.018860,-1.078305,0.786427,6.666580,-0.683308,-6.234424,2.509784,0.277628,5.318786,-2.267786,-0.485536,-3.061639,-0.493918,0.503960,-0.440218,9.745840,1.728432,0.648517,1.005294,0.125871,0.374325,-3.653947,3.820752,-0.526077,0.504004,0.707009
1.160505,0.037214,1.151118,0.097070,1.633849,-1.314574,0.581193,-0.558358,-0.814693,-0.097927,0.093441,-0.241718,-0.028613,0.040532,0.098776,0.974161,-0.406005,1.176505,-1.126896,-0.245694,-2.141051,-1.026889,1.413684,0.877162,-0.473256,1.000814,1.375247,-1.325940,0.910992,0.164377,0.449517,0.628802,4.098074,-1.245106,-0.919189,-0.157579,0.271695,0.122033,-0.703322,-1.189677,1.335009,-2.044441,-1.596261,-0.516946,2.616049,-1.395943,2.469832,0.356870,-0.922389,0.210510
-1.033644,-1.477530,-2.388334,-0.791643,2.395714,-0.463476,-1.185627,2.183121,0.866594,-0.701983,-1.878281,-1.705900,1.312292,-1.559875,-0.641698,-0.271959,-0.256437,-0.983849,1.169694,3.566061,0.626905,-1.730006,0.282912,1.062461,0.223406,-1.052884,0.329680,-3.007971,-5.611960,-0.237240,1.775473,1.044091,7.523294,-6.700654,1.074513,0.599891,-2.165206,-1.531968,-1.175566,-0.022308,1.490819,1.637958,1.005511,0.775279,1.815092,-4.902748,0.030024,0.947083,0.253232,0.180767
-0.392535,-0.499084,-0.719362,-0.518162,1.698372,-2.707231,2.991816,-1.729051,2.521688,0.396457,0.625520,-1.770294,-1.862130,-2.387549,-0.260106,0.192227,-1.001559,-0.630857,2.800534,0.990823,1.739905,-2.246965,1.323389,0.120867,0.210119,0.258762,0.159768,-8.625792,-0.319804,2.140671,1.492717,0.503385,1.204366,-3.093363,-0.244060,0.171749,-2.573248,-0.644756,0.421412,3.797657,0.602055,1.142056,0.728111,0.568348,2.165837,-2.011177,-1.167916,0.679206,0.737699,1.106296
0.454636,-0.638440,0.610117,0.609381,-3.552091,-1.654053,0.875949,-0.285222,-0.834650,-0.697476,0.433478,-0.806592,-0.252164,1.019857,0.667473,-0.770348,-1.402269,-0.896126,-0.100305,0.855269,1.645288,-11.238634,-1.039185,-0.980088,0.255314,-0.943411,-2.898892,-1.100997,1.239893,0.911842,-2.566089,1.206158,-11.432611,10.195501,-0.105340,6.096152,-1.495055,0.667231,-0.005161,-18.837410,-0.561331,1.323507,-0.012070,2.380171,2.787075,6.898711,-4.387969,-0.188628,-0.980267,-1.291143
-0.800376,-1.967939,3.214986,0.080964,4.553611,-1.094274,-1.136493,1.184772,0.889501,2.065816,-0.749244,-2.042014,0.737537,-0.424459,0.438060,2.170460,-0.951047,-0.109167,1.176000,-0.399085,3.769275,3.157989,-0.771962,-0.596186,0.130005,0.235762,1.685677,-1.660357,-3.555812,1.551250,2.438176,1.037083,7.916244,-5.571266,-0.019682,-1.302333,-2.303375,0.640442,-0.955189,6.287674,1.286843,1.713097,1.194509,-1.459539,1.226224,-4.143140,3.935748,0.059310,-0.513251,1.448258
0.923003,1.356746,4.304271,0.496854,-0.814749,-1.107867,-1.138912,2.280877,0.389032,-0.704866,-0.740114,-0.189585,1.199855,-2.646632,0.232689,1.900676,-0.520685,-0.317302,0.780274,-0.526187,0.162234,-3.520964,0.769393,-0.398782,0.725388,0.889505,1.504121,-5.388899,0.950373,0.456073,-0.452929,-0.847797,-6.497015,4.741305,-0.084352,1.784239,-0.951589,0.902650,1.572331,-1.928389,-0.073672,0.063373,-0.075784,-0.928706,5.067828,3.006322,-0.676195,0.575055,0.767796,0.748584
-0.323567,0.002410,3.260487,1.036383,4.427559,0.252773,0.532781,0.922169,0.681076,-0.660820,0.126215,-2.983366,0.311429,-1.012864,-0.322290,2.643558,0.236542,-1.482322,1.010587,-1.467867,1.786372,-4.527310,0.281992,1.448183,0.637707,-1.745444,3.577111,0.673152,-0.665062,1.077060,3.236872,-0.041555,9.126538,-4.273242,1.078954,1.778396,-5.218470,1.696579,-1.241634,-6.757786,2.599886,2.877101,1.480271,0.145303,3.616154,-4.694436,2.705625,-1.218158,0.041606,0.669815
-1.044083,-0.901028,-1.455957,1.116185,1.445623,-2.158084,0.151253,-1.350600,0.109403,-0.910504,-0.229901,-1.568688,-0.024440,0.675256,1.101341,-1.685386,-1.542873,-0.188284,1.032453,-2.311806,0.966056,-1.058956,-0.626959,0.970903,1.350110,-0.216165,-0.037903,-4.318175,0.021621,2.490466,1.786717,0.057514,5.838293,-2.409249,0.025677,0.029443,-1.482807,-0.065068,-0.729027,1.434957,0.027258,0.750822,0.055546,-0.835262,0.590327,-2.787332,-0.421906,-0.673637,-0.524332,0.317894
-0.869210,-0.590385,1.099455,0.287947,-3.162396,-0.491514,1.077243,1.783540,-1.340853,-0.634778,0.063562,-0.641321,0.184104,-1.869883,0.535171,0.275499,0.242090,-0.040772,-2.825355,-1.569432,0.650665,-0.628393,-1.286768,-0.741265,-0.219203,1.039525,-3.329744,-1.663507,-0.195298,-1.364675,-1.282119,1.023850,-11.872243,5.776448,-0.489808,0.592154,-0.210316,0.628048,-0.714799,-0.287209,-0.823358,1.312338,0.440102,0.374216,-1.396539,5.149087,-1.057879,1.978296,0.663867,1.541205
0.435533,0.277260,-0.303345,-0.858188,-2.179253,4.287324,-1.336598,1.590911,-2.531012,-0.864899,-0.071701,0.235832,0.462237,0.176409,-0.155731,-1.082209,1.806574,0.717720,-2.281008,1.554205,-1.120785,5.556354,1.152882,0.238114,-0.652909,0.703738,-1.071055,7.919129,3.775470,-1.953446,-0.137871,-1.612689,-1.252836,1.360573,1.713255,-1.081712,2.028387,-0.254859,0.137887,4.501083,-0.659108,-2.166674,-1.093807,1.398704,-1.571071,2.878849,-1.975021,0.051962,-0.922128,-0.560408
-3.166982,-1.607709,-0.007844,0.245914,-3.956838,-0.749979,-0.609776,-1.949380,0.943716,0.148782,-0.271860,0.563479,-0.406479,2.193855,0.203637,-1.101192,-0.426718,0.808685,1.502970,-0.018725,-0.044346,-7.367086,0.175548,-0.396953,-0.544135,-0.168608,-1.112219,1.080993,-1.191560,1.666340,-2.958398,-0.253402,-11.972246,6.975811,-0.453124,3.687845,0.803319,-0.296332,1.099907,-13.755952,-2.508619,-0.634933,-0.385723,-0.579571,-7.108818,5.912703,-3.587931,0.421771,0.639774,-1.471813
-0.059524,-0.920370,0.139350,1.144747,1.893822,2.181625,-2.004205,1.218698,-2.410731,1.132281,0.449723,-0.378510,0.370101,1.385766,-0.318718,2.305844,2.037137,0.139788,-1.728701,-2.770241,-0.151104,2.224892,0.555468,2.295924,-0.777465,-1.510687,1.385489,6.385684,1.944944,-1.907941,0.853010,0.851716,6.558249,-5.833971,-0.994383,0.246336,-1.306737,0.094172,-0.524475,0.370728,1.195444,0.861505,0.995760,-0.873516,2.233882,-3.564871,4.018417,-0.539826,0.572913,0.517614
1.813287,0.143218,-0.716381,-1.245050,2.499677,0.627132,-1.731216,3.186305,0.268655,-0.355493,0.148069,-0.150475,1.456548,-1.335361,-0.423952,0.285405,-0.084132,-1.161689,0.347579,2.687428,1.204658,5.078602,1.589275,0.999358,-0.193369,0.016151,1.112114,0.410638,1.490140,0.069283,1.924282,-1.234764,7.324770,-4.621737,-0.784337,-3.984541,0.504795,-0.286013,0.130315,7.292188,1.688107,2.516801,-0.397589,0.276276,3.765057,-3.381041,1.682658,-0.266312,-0.287861,-0.208170
3.880584,3.126099,1.525194,0.241339,-0.430886,-1.546544,-1.806590,3.757925,0.638611,-0.849390,1.537701,1.251071,1.881585,-1.793307,-0.933196,-0.578470,-0.766071,-0.697315,-0.648766,-0.212469,-2.168538,1.762316,-0.964841,-0.149760,-0.881253,-0.228998,0.350335,-4.587280,3.891531,0.803558,-0.451895,-0.470335,0.276512,-0.203274,-0.645858,-1.796063,1.307856,0.908280,0.593598,5.343632,0.114635,2.050790,-0.666114,-0.394541,4.307490,1.143094,0.212286,0.476107,-0.623427,-1.314951
-1.344012,-1.095535,-0.206220,-0.101769,2.770444,-2.468245,-1.448434,-0.188666,1.217717,0.803878,-0.404041,-1.080549,0.821745,1.827790,-1.765248,0.337916,-0.954337,-0.188584,1.996904,-0.397066,0.257379,1.218922,-2.329398,0.656747,2.163833,2.063904,1.235766,-3.423583,1.243307,0.583659,1.686126,-0.679511,7.890450,-2.601663,-0.315194,-1.512401,0.025778,0.251609,-0.448311,5.822204,-0.473707,0.939410,-1.016166,-0.172822,-3.204290,-4.247959,0.621707,-0.099400,0.050047,0.959958
0.150204,0.426464,-0.705023,-1.331867,-1.045391,1.381178,2.166608,-1.475097,0.530733,0.982717,-0.241094,2.869722,-1.437774,-1.608980,-1.469507,2.922622,0.391441,0.534277,-0.303232,2.597060,-2.681095,6.876591,0.821259,0.111425,-0.522055,1.175683,-1.564341,-0.175582,-0.104137,-0.999930,-1.603674,-1.273982,-1.779917,-0.778105,-0.130193,-3.834606,3.294984,-0.316563,-0.358196,11.633419,0.271537,0.774089,-1.068266,1.597212,-2.374753,0.063222,-1.904203,-0.438994,1.239450,-0.041743
0.124587,0.465254,2.516597,0.400520,-1.402680,-0.907245,2.035054,-3.343984,0.916106,0.763002,0.942071,-1.097003,-1.476739,0.549538,-1.542051,0.487972,-0.976966,0.025888,0.991772,-1.159508,0.245797,-6.849598,0.079629,0.868651,-0.185530,-0.179467,-3.879504,-2.002759,-0.419612,0.007834,-0.086437,0.696832,-3.629523,0.671868,1.527236,2.800250,-2.203095,0.106139,-1.267149,-10.053177,-2.047044,0.097768,0.647818,-0.614534,1.827117,1.452437,-3.039742,0.805197,-0.165824,0.382761
-2.817714,-1.188915,-2.120544,0.331899,-3.563269,-0.060322,-1.562419,2.458323,-0.063120,0.453311,-0.232608,1.230142,1.506253,1.307443,-1.048278,0.048845,-0.517368,0.337629,-0.334943,-1.738459,-2.183621,-1.008722,-1.017202,0.094621,0.438230,-1.941214,-2.632275,2.301641,2.450562,0.231280,-2.087151,-0.957431,-5.147439,3.610371,0.849223,0.526692,1.723167,-0.778629,-0.517008,-3.061203,-1.323296,-1.026083,-0.027483,-1.389500,-4.774846,2.928339,-1.417982,0.450615,-0.285851,-0.481478
-2.805914,-1.919610,-1.492644,-0.301604,0.725832,1.714565,0.353133,-0.594017,-1.381290,-2.080968,-0.502978,-0.156517,-0.466338,1.221947,-0.150029,-0.826231,0.682756,0.495318,-2.974773,1.694122,0.233665,3.233406,-2.159307,0.019768,-0.436154,-0.398386,-0.028927,3.748651,3.440714,-1.628230,-0.131938,-1.598243,7.444366,-3.913806,1.886051,-0.028531,0.623772,-0.593447,0.210016,4.593618,0.269761,0.131254,-0.568674,0.588018,-5.119768,-2.820124,0.568217,-0.225061,-0.765406,-0.628665
-0.688530,0.499935,-0.151009,0.825940,-3.293846,-1.694896,1.056243,0.230196,1.711201,0.186750,0.744600,1.841184,-0.978074,-0.623683,-0.723858,-0.288549,-1.426393,-0.351996,2.004326,-2.383695,-1.949191,2.500902,0.420308,0.515078,-0.638602,-0.806881,0.107837,-4.017877,0.656522,1.268847,-1.653951,0.042146,-8.048910,3.005633,0.611891,-2.836397,3.095130,-0.558142,0.832273,7.259028,-0.920905,-0.673697,0.829503,-0.942352,-4.173334,4.299614,-0.726673,1.416169,-0.233295,0.305347
0.992595,0.026937,0.110899,0.635900,0.766696,-0.083111,3.201843,-2.270875,0.435236,-1.025062,0.327217,-0.839972,-1.802317,-0.311078,0.762937,1.474595,-0.694166,1.990169,0.541843,-0.865204,1.399338,-1.408762,-0.707785,1.094949,1.202589,-0.389920,2.076144,-0.475331,0.911829,-1.442699,0.129615,-0.236127,3.026918,-2.523358,-0.154516,1.575281,-1.289505,-0.132213,0.964925,0.099841,0.253356,-3.165274,-0.271342,0.811921,2.043370,-2.457518,0.874213,0.675299,0.395645,-1.859412
